true_label,predicted_prob,predicted_label
1,0.62498385,1
0,0.6228142,1
1,0.705498,1
1,0.40388012,0
0,0.43489817,0
0,0.6636208,1
1,0.44396126,0
1,0.4872899,0
0,0.5652881,1
1,0.50782657,1
0,0.23930213,0
0,0.55945843,1
1,0.69636345,1
0,0.6493827,1
0,0.4824907,0
0,0.6563358,1
0,0.5108453,1
1,0.61294067,1
1,0.51701,1
0,0.20560524,0
1,0.67954636,1
0,0.6065623,1
0,0.2391488,0
1,0.6419869,1
1,0.6114845,1
0,0.30039185,0
0,0.7078098,1
1,0.76421195,1
0,0.63320607,1
0,0.29981256,0
1,0.5490527,1
1,0.5644439,1
0,0.68048525,1
1,0.5341741,1
0,0.6410576,1
1,0.6449344,1
1,0.54438865,1
1,0.64727104,1
0,0.56552756,1
0,0.5159969,1
1,0.48164508,0
0,0.6516535,1
0,0.26040748,0
1,0.5498403,1
0,0.42867118,0
0,0.50611556,1
0,0.5614132,1
1,0.55942017,1
1,0.59663916,1
0,0.38204628,0
0,0.1949299,0
0,0.5242821,1
1,0.53371066,1
1,0.5681381,1
1,0.6063389,1
0,0.5660571,1
1,0.7601411,1
0,0.14770561,0
0,0.44944257,0
0,0.3801883,0
1,0.7493511,1
0,0.59908974,1
1,0.72629035,1
0,0.41968793,0
1,0.5850408,1
0,0.26612568,0
1,0.3029113,0
0,0.5686326,1
1,0.52374876,1
0,0.1874346,0
0,0.58670574,1
1,0.5981932,1
0,0.62660134,1
1,0.46021855,0
1,0.69719446,1
1,0.5880135,1
1,0.6123515,1
0,0.32323802,0
0,0.5901526,1
0,0.38106826,0
1,0.5349584,1
0,0.50131315,1
1,0.42745346,0
0,0.55239356,1
1,0.61848813,1
0,0.34760794,0
1,0.56133616,1
1,0.7168442,1
0,0.5578386,1
1,0.43687862,0
0,0.54841495,1
1,0.6010127,1
0,0.2492674,0
0,0.6015231,1
1,0.63686216,1
1,0.6798311,1
1,0.5788638,1
1,0.6930621,1
0,0.40941504,0
1,0.42851946,0
1,0.53608745,1
0,0.69845074,1
0,0.53979725,1
1,0.6741502,1
1,0.48695916,0
1,0.44987452,0
0,0.49574217,0
1,0.67703515,1
1,0.52959025,1
1,0.7474092,1
0,0.63159925,1
0,0.63321406,1
0,0.5810914,1
0,0.37797302,0
0,0.36480716,0
0,0.16030821,0
1,0.50289583,1
0,0.5679718,1
1,0.50083125,1
1,0.585999,1
0,0.6453729,1
1,0.65904576,1
0,0.63836306,1
0,0.13245225,0
1,0.7316873,1
1,0.5831007,1
1,0.731306,1
0,0.48861286,0
0,0.5274515,1
1,0.7119602,1
0,0.5470957,1
1,0.5982257,1
1,0.7665895,1
0,0.6830154,1
0,0.68568677,1
0,0.41880262,0
1,0.50523406,1
1,0.55201715,1
0,0.60533327,1
0,0.5380461,1
0,0.41692236,0
1,0.63171893,1
1,0.4418511,0
0,0.5968048,1
0,0.53635263,1
0,0.5409347,1
0,0.49790502,0
0,0.4761943,0
1,0.6651504,1
0,0.42201084,0
1,0.6174604,1
1,0.44611052,0
0,0.5382661,1
0,0.40598625,0
1,0.2859866,0
1,0.61696535,1
0,0.5481315,1
0,0.52618927,1
1,0.57775307,1
1,0.5673287,1
1,0.4545927,0
1,0.5891664,1
0,0.58941245,1
0,0.6288308,1
1,0.6692298,1
0,0.58972377,1
0,0.55946547,1
0,0.57040423,1
0,0.47549453,0
1,0.6577027,1
1,0.7167519,1
1,0.5381801,1
0,0.5843182,1
1,0.48714343,0
0,0.3021858,0
0,0.23570995,0
0,0.2123359,0
1,0.5942161,1
1,0.4925498,0
0,0.6648135,1
1,0.53647166,1
1,0.56708515,1
0,0.707809,1
0,0.5384511,1
1,0.44446436,0
0,0.19423628,0
0,0.2624514,0
0,0.5773815,1
0,0.45813408,0
1,0.37022886,0
0,0.35882178,0
0,0.37390652,0
0,0.41848347,0
1,0.4822079,0
1,0.5659217,1
1,0.25833398,0
0,0.6006134,1
1,0.5141547,1
0,0.29559475,0
0,0.6387787,1
1,0.5869164,1
0,0.6800595,1
0,0.64289594,1
1,0.5415912,1
0,0.4313372,0
0,0.42282173,0
0,0.5028434,1
1,0.49487802,0
0,0.3238469,0
0,0.16559814,0
1,0.66998124,1
1,0.62754047,1
0,0.41690212,0
0,0.7216349,1
1,0.7241423,1
1,0.54346925,1
1,0.597378,1
0,0.42717764,0
1,0.61832255,1
0,0.51271677,1
1,0.53171515,1
1,0.5650523,1
0,0.6255694,1
0,0.4775159,0
0,0.51744443,1
1,0.52478904,1
1,0.5425245,1
0,0.61531764,1
0,0.41510025,0
1,0.56224203,1
0,0.6583719,1
1,0.5440339,1
0,0.46914148,0
1,0.32367092,0
1,0.66340524,1
1,0.59913766,1
1,0.63654226,1
0,0.27664238,0
0,0.28756976,0
0,0.67481095,1
0,0.53238565,1
1,0.662137,1
0,0.54390836,1
0,0.44141284,0
1,0.6488081,1
1,0.5634135,1
1,0.47946674,0
0,0.5113425,1
0,0.5599554,1
0,0.40850145,0
1,0.50382215,1
1,0.54872626,1
0,0.5593332,1
0,0.64164394,1
1,0.6103067,1
0,0.68332,1
1,0.5682875,1
0,0.24468443,0
0,0.43095598,0
1,0.5864902,1
0,0.16675372,0
1,0.6083864,1
1,0.73745316,1
0,0.70279455,1
1,0.40858826,0
0,0.5559762,1
0,0.4679634,0
0,0.5722002,1
0,0.67501247,1
1,0.62658966,1
0,0.53741693,1
0,0.39609954,0
1,0.57609147,1
0,0.41090083,0
1,0.6901028,1
1,0.73983794,1
0,0.44579557,0
0,0.45496953,0
1,0.74051803,1
1,0.7167992,1
1,0.543649,1
1,0.44061315,0
0,0.62365115,1
1,0.4838598,0
1,0.699709,1
0,0.6567107,1
0,0.36720297,0
0,0.5652453,1
0,0.69969296,1
0,0.44507566,0
0,0.6179692,1
1,0.6735483,1
1,0.56735766,1
0,0.40567094,0
0,0.70730174,1
1,0.5604961,1
0,0.65590185,1
1,0.6138017,1
1,0.5421835,1
0,0.38088334,0
1,0.52485186,1
1,0.70126325,1
1,0.69440514,1
1,0.48898256,0
0,0.5358684,1
0,0.579659,1
1,0.57532316,1
1,0.5189613,1
0,0.4559481,0
0,0.5470992,1
0,0.25226653,0
1,0.60441214,1
0,0.55427957,1
1,0.7561854,1
1,0.54380655,1
1,0.63686347,1
0,0.6467537,1
0,0.42008775,0
1,0.5203838,1
1,0.5705967,1
1,0.66572344,1
0,0.58993506,1
1,0.5965687,1
1,0.5954365,1
1,0.5644751,1
1,0.66935605,1
1,0.6085824,1
0,0.56634367,1
1,0.4926793,0
1,0.53484076,1
1,0.66804606,1
1,0.41711405,0
0,0.712859,1
0,0.6123357,1
0,0.703867,1
1,0.40907404,0
0,0.2772334,0
0,0.3218254,0
0,0.5324382,1
0,0.70286995,1
0,0.44812155,0
1,0.696572,1
1,0.6378247,1
0,0.6203444,1
0,0.28726953,0
1,0.64337367,1
1,0.7354485,1
0,0.56064117,1
1,0.6978839,1
0,0.6683142,1
1,0.73806864,1
0,0.50938755,1
1,0.64478725,1
0,0.61392784,1
0,0.5130924,1
0,0.34237528,0
1,0.5419439,1
0,0.2483458,0
0,0.34399098,0
1,0.40076554,0
1,0.5653723,1
0,0.14692642,0
0,0.5213505,1
0,0.2510793,0
0,0.644781,1
1,0.58718795,1
0,0.6683262,1
1,0.50312084,1
0,0.31606746,0
1,0.49153423,0
1,0.4252472,0
1,0.5508833,1
1,0.6994308,1
1,0.5512821,1
1,0.54174376,1
1,0.5037884,1
0,0.5852102,1
1,0.5576427,1
1,0.4220704,0
1,0.5872361,1
1,0.6508897,1
1,0.53506154,1
1,0.5124209,1
1,0.6118991,1
1,0.41276297,0
0,0.29087248,0
0,0.47526705,0
0,0.60694027,1
0,0.5338819,1
1,0.5461449,1
0,0.22786224,0
0,0.27502164,0
1,0.6567024,1
1,0.6093497,1
1,0.5257969,1
1,0.7077102,1
1,0.53568065,1
0,0.287593,0
1,0.64641845,1
1,0.5569381,1
0,0.52685076,1
0,0.48230183,0
0,0.5906693,1
0,0.61469984,1
1,0.6644394,1
1,0.63986224,1
0,0.43725008,0
0,0.48146084,0
0,0.5949927,1
0,0.47197926,0
0,0.1621339,0
1,0.43222058,0
1,0.46992886,0
1,0.6064763,1
1,0.6352969,1
1,0.59538823,1
0,0.41792867,0
0,0.30449694,0
0,0.35905722,0
1,0.62976724,1
1,0.57155657,1
1,0.7176642,1
1,0.57266885,1
1,0.68258107,1
1,0.7097933,1
0,0.54266274,1
0,0.5125979,1
1,0.58631366,1
0,0.48615587,0
1,0.39735445,0
0,0.51395017,1
1,0.74755603,1
1,0.57621104,1
0,0.39889777,0
1,0.6793281,1
1,0.5557314,1
1,0.62462616,1
0,0.6669069,1
1,0.52794755,1
1,0.31385323,0
1,0.586632,1
1,0.58067256,1
1,0.6338798,1
0,0.6331308,1
0,0.7058751,1
1,0.54775715,1
1,0.6452008,1
0,0.66603035,1
0,0.62351865,1
0,0.5482542,1
1,0.60077924,1
0,0.45572045,0
0,0.5538964,1
0,0.7145227,1
1,0.65509653,1
1,0.621245,1
1,0.54081625,1
0,0.49803388,0
0,0.2480152,0
0,0.6301385,1
1,0.70355684,1
0,0.5898731,1
0,0.72230965,1
0,0.4446413,0
1,0.5921188,1
0,0.27891445,0
0,0.4549554,0
0,0.57181686,1
1,0.7660592,1
0,0.3716861,0
0,0.613247,1
1,0.72696996,1
1,0.5728574,1
1,0.6014401,1
1,0.73350817,1
1,0.30283377,0
1,0.47126985,0
1,0.643363,1
0,0.56102866,1
1,0.41008517,0
1,0.28852847,0
0,0.63720447,1
0,0.5874638,1
0,0.60974526,1
0,0.6307383,1
0,0.45283425,0
1,0.61677873,1
1,0.58635294,1
1,0.66292983,1
0,0.3009486,0
0,0.5503268,1
0,0.38100415,0
1,0.4447071,0
1,0.646702,1
0,0.58687526,1
0,0.47329646,0
1,0.60512567,1
0,0.5690849,1
0,0.59147674,1
0,0.2228281,0
1,0.4637955,0
0,0.52995694,1
0,0.41744095,0
1,0.63593817,1
1,0.59337425,1
1,0.72718424,1
0,0.24080318,0
0,0.4327207,0
0,0.6329622,1
1,0.62099,1
0,0.4458629,0
0,0.4800658,0
1,0.5432903,1
0,0.58622706,1
1,0.5450394,1
0,0.42371967,0
0,0.3122166,0
1,0.5351618,1
1,0.43291444,0
1,0.67560655,1
1,0.36411417,0
0,0.4142817,0
1,0.7379079,1
0,0.42229804,0
0,0.6381902,1
1,0.6336764,1
1,0.4145127,0
1,0.5793272,1
1,0.61430585,1
1,0.64683855,1
1,0.37811163,0
1,0.49431425,0
1,0.56566375,1
1,0.6268706,1
1,0.6911491,1
0,0.21150614,0
1,0.54990023,1
1,0.6811454,1
0,0.38480708,0
1,0.3637658,0
0,0.6271819,1
0,0.3872304,0
1,0.3665932,0
0,0.60889417,1
0,0.5810964,1
0,0.67628205,1
0,0.5235199,1
0,0.63242906,1
1,0.6591243,1
