true_label,predicted_prob,predicted_label
1,0.6751932,1
0,0.7078544,1
1,0.7508735,1
1,0.27233008,0
0,0.46426427,0
0,0.7645595,1
1,0.24568604,0
1,0.36388615,0
0,0.6894493,1
1,0.5907341,1
0,0.10312293,0
0,0.649862,1
1,0.7952341,1
0,0.69017607,1
0,0.53720546,1
0,0.6080236,1
0,0.7481233,1
1,0.64615685,1
1,0.5938259,1
0,0.045149844,0
1,0.67865396,1
0,0.6745733,1
0,0.097838625,0
1,0.73578346,1
1,0.65328896,1
0,0.1822102,0
0,0.8232261,1
1,0.79147655,1
0,0.6990203,1
0,0.13702467,0
1,0.6935765,1
1,0.6347564,1
0,0.7253665,1
1,0.48366463,0
0,0.79118675,1
1,0.77029836,1
1,0.36216694,0
1,0.66175866,1
0,0.6441409,1
0,0.5325439,1
1,0.50218374,1
0,0.66321146,1
0,0.09088288,0
1,0.6125505,1
0,0.29648137,0
0,0.5836532,1
0,0.6719322,1
1,0.5304536,1
1,0.609469,1
0,0.09261881,0
0,0.09283031,0
0,0.6554571,1
1,0.28788653,0
1,0.66343695,1
1,0.7718387,1
0,0.51146996,1
1,0.8391096,1
0,0.04135385,0
0,0.43049666,0
0,0.4320896,0
1,0.85946375,1
0,0.5938159,1
1,0.8462804,1
0,0.61410654,1
1,0.68227565,1
0,0.117048874,0
1,0.23539178,0
0,0.6757737,1
1,0.37778404,0
0,0.21354295,0
0,0.6229876,1
1,0.696512,1
0,0.77534044,1
1,0.21976945,0
1,0.66516197,1
1,0.73303914,1
1,0.601928,1
0,0.25645775,0
0,0.45800146,0
0,0.49650908,0
1,0.24098575,0
0,0.32089388,0
1,0.71558934,1
0,0.52528685,1
1,0.72618955,1
0,0.39933735,0
1,0.6525929,1
1,0.87778455,1
0,0.6318976,1
1,0.2956964,0
0,0.65000206,1
1,0.7013808,1
0,0.1274149,0
0,0.66207576,1
1,0.74829257,1
1,0.7933408,1
1,0.1883154,0
1,0.73263407,1
0,0.6651936,1
1,0.3102209,0
1,0.5611314,1
0,0.71497375,1
0,0.6514239,1
1,0.80223525,1
1,0.549113,1
1,0.2759016,0
0,0.6924841,1
1,0.7971406,1
1,0.42033985,0
1,0.8325125,1
0,0.77850306,1
0,0.6697314,1
0,0.62908244,1
0,0.47871143,0
0,0.23089969,0
0,0.07117178,0
1,0.67059034,1
0,0.5389566,1
1,0.4944827,0
1,0.74570906,1
0,0.4523352,0
1,0.85370433,1
0,0.77036893,1
0,0.059239607,0
1,0.8776152,1
1,0.5749008,1
1,0.7886761,1
0,0.57255435,1
0,0.6297928,1
1,0.8773512,1
0,0.59640616,1
1,0.5725978,1
1,0.852751,1
0,0.6992742,1
0,0.71209145,1
0,0.79494786,1
1,0.46868435,0
1,0.46634373,0
0,0.6607149,1
0,0.6313639,1
0,0.23266363,0
1,0.42389357,0
1,0.62897056,1
0,0.3470234,0
0,0.65015507,1
0,0.576455,1
0,0.46482718,0
0,0.41604668,0
1,0.7378184,1
0,0.33646792,0
1,0.6980714,1
1,0.34061822,0
0,0.623876,1
0,0.3890768,0
1,0.37460977,0
1,0.7178083,1
0,0.6228238,1
0,0.40896395,0
1,0.67720807,1
1,0.43406057,0
1,0.4933881,0
1,0.38096282,0
0,0.53588897,1
0,0.66947705,1
1,0.81931764,1
0,0.5865409,1
0,0.63428026,1
0,0.59264976,1
0,0.3224875,0
1,0.6568499,1
1,0.6839618,1
1,0.41930047,0
0,0.45142025,0
1,0.5161271,1
0,0.1672105,0
0,0.08071538,0
0,0.08578449,0
1,0.6497625,1
1,0.65484184,1
0,0.61404765,1
1,0.5005453,1
1,0.58575535,1
0,0.76019627,1
0,0.5864301,1
1,0.61457264,1
0,0.07715288,0
0,0.13873947,0
0,0.65852493,1
0,0.38438016,0
1,0.4872234,0
0,0.13977404,0
0,0.23807989,0
0,0.4012741,0
1,0.47108707,0
1,0.4660079,0
1,0.30936924,0
0,0.5526974,1
1,0.53221935,1
0,0.2851006,0
0,0.6711724,1
1,0.47262314,0
0,0.5569213,1
0,0.64738065,1
1,0.4740925,0
0,0.53106797,1
0,0.5111357,1
0,0.51700526,1
1,0.5364217,1
0,0.31589139,0
0,0.11455371,0
1,0.6121913,1
1,0.49569097,0
0,0.5665818,1
0,0.82122725,1
1,0.80260813,1
1,0.28543875,0
1,0.6449141,1
0,0.2897645,0
1,0.69521725,1
0,0.6963009,1
1,0.53346086,1
1,0.43348876,0
0,0.7992119,1
0,0.4282325,0
0,0.37854952,0
1,0.64842194,1
1,0.6510998,1
0,0.65068626,1
0,0.37652975,0
1,0.72423273,1
0,0.69872427,1
1,0.45756346,0
0,0.57096297,1
1,0.20549835,0
1,0.5884371,1
1,0.31874037,0
1,0.7219089,1
0,0.17071511,0
0,0.3316201,0
0,0.5482433,1
0,0.35088557,0
1,0.749718,1
0,0.38643602,0
0,0.43100744,0
1,0.70098466,1
1,0.663242,1
1,0.5925758,1
0,0.658642,1
0,0.697266,1
0,0.3693909,0
1,0.6031953,1
1,0.5114002,1
0,0.5514135,1
0,0.41214606,0
1,0.76864403,1
0,0.73368126,1
1,0.62486327,1
0,0.19406201,0
0,0.34399793,0
1,0.28851292,0
0,0.040656216,0
1,0.5385088,1
1,0.86303174,1
0,0.7872425,1
1,0.25885147,0
0,0.5683582,1
0,0.40419337,0
0,0.6590037,1
0,0.64335066,1
1,0.6581387,1
0,0.52878106,1
0,0.30164343,0
1,0.56621623,1
0,0.34661338,0
1,0.7877537,1
1,0.855943,1
0,0.2725389,0
0,0.4289844,0
1,0.87812376,1
1,0.78686357,1
1,0.73346657,1
1,0.3666759,0
0,0.7275665,1
1,0.5818869,1
1,0.82374936,1
0,0.6737782,1
0,0.32449,0
0,0.38718224,0
0,0.6572385,1
0,0.41174796,0
0,0.7936095,1
1,0.45784676,0
1,0.6647951,1
0,0.17615041,0
