true_label,predicted_prob,predicted_label
1,0.6899504,1
0,0.46494848,0
1,0.6000553,1
1,0.32281488,0
0,0.59869456,1
0,0.6187623,1
1,0.26481444,0
1,0.33192575,0
0,0.44202968,0
1,0.39956278,0
0,0.052368157,0
0,0.64344114,1
1,0.69177437,1
0,0.57809675,1
0,0.5690712,1
0,0.72041297,1
0,0.4203658,0
1,0.6171354,1
1,0.19587527,0
0,0.039057337,0
1,0.64287144,1
0,0.51789004,1
0,0.079173096,0
1,0.7235566,1
1,0.7285113,1
0,0.08957335,0
0,0.66331303,1
1,0.6580236,1
0,0.712031,1
0,0.22852848,0
1,0.438587,0
1,0.6601427,1
0,0.77240074,1
1,0.4763797,0
0,0.7660636,1
1,0.7677381,1
1,0.4514856,0
1,0.67113686,1
0,0.40782857,0
0,0.42121586,0
1,0.35336325,0
0,0.5789983,1
0,0.07553869,0
1,0.38691515,0
0,0.20649458,0
0,0.24349643,0
0,0.693348,1
1,0.31906018,0
1,0.54244417,1
0,0.17394589,0
0,0.09369531,0
0,0.67019314,1
1,0.20738216,0
1,0.51754594,1
1,0.75813574,1
0,0.60535187,1
1,0.7121578,1
0,0.045789793,0
0,0.2760757,0
0,0.17330375,0
1,0.8014483,1
0,0.4007156,0
1,0.77809376,1
0,0.33594987,0
1,0.74533635,1
0,0.12902962,0
1,0.20388475,0
0,0.63399994,1
1,0.28273994,0
0,0.07329127,0
0,0.58295506,1
1,0.44223458,0
0,0.67201805,1
1,0.17864634,0
1,0.6790057,1
1,0.5186509,1
1,0.6817025,1
0,0.31184983,0
0,0.5031451,1
0,0.43501657,0
1,0.38142055,0
0,0.45815104,0
1,0.73761284,1
0,0.64460033,1
1,0.6566495,1
0,0.27224243,0
1,0.5569276,1
1,0.76637465,1
0,0.62925327,1
1,0.36008686,0
0,0.560881,1
1,0.70624846,1
0,0.14409794,0
0,0.55741405,1
1,0.756862,1
1,0.79530627,1
1,0.28844467,0
1,0.75909895,1
0,0.5411383,1
1,0.5889933,1
1,0.4150095,0
0,0.6074346,1
0,0.68643904,1
1,0.6130425,1
1,0.5015028,1
1,0.31385377,0
0,0.56616926,1
1,0.7797672,1
1,0.47829744,0
1,0.75369424,1
0,0.7440407,1
0,0.3948858,0
0,0.6478492,1
0,0.48314372,0
0,0.23160595,0
0,0.049920436,0
1,0.36164078,0
0,0.6054909,1
1,0.28841254,0
1,0.54679966,1
0,0.7548441,1
1,0.8325863,1
0,0.65347105,1
0,0.0593337,0
1,0.7641664,1
1,0.3881804,0
1,0.7600149,1
0,0.50454605,1
0,0.62214255,1
1,0.81450593,1
0,0.3772361,0
1,0.64969325,1
1,0.7471816,1
0,0.64187807,1
0,0.7288996,1
0,0.8201896,1
1,0.59757024,1
1,0.42029235,0
0,0.47654033,0
0,0.54779387,1
0,0.21382287,0
1,0.535984,1
1,0.45927978,0
0,0.5988585,1
0,0.55792576,1
0,0.33246565,0
0,0.5986804,1
0,0.48149174,0
1,0.7140238,1
0,0.514853,1
1,0.67434555,1
1,0.16092667,0
0,0.31762865,0
0,0.55125785,1
1,0.25127462,0
1,0.7349592,1
0,0.48048857,0
0,0.60858727,1
1,0.6309939,1
1,0.56445396,1
1,0.5713114,1
1,0.5567597,1
0,0.42860305,0
0,0.63137704,1
1,0.6241256,1
0,0.70314693,1
0,0.63339275,1
0,0.55406886,1
0,0.27929536,0
1,0.5699729,1
1,0.76755595,1
1,0.46243313,0
0,0.614799,1
1,0.5822679,1
0,0.1700842,0
0,0.054710068,0
0,0.15752478,0
1,0.54810125,1
1,0.6201513,1
0,0.68137074,1
1,0.44972244,0
1,0.54148215,1
0,0.7716897,1
0,0.58522385,1
1,0.38330686,0
0,0.11311066,0
0,0.08707755,0
0,0.70265365,1
0,0.40340933,0
1,0.4175271,0
0,0.14399382,0
0,0.13130648,0
0,0.36863694,0
1,0.52400655,1
1,0.43738186,0
1,0.18522337,0
0,0.7148424,1
1,0.46063194,0
0,0.23538956,0
0,0.6909718,1
1,0.48249438,0
0,0.6158599,1
0,0.62063915,1
1,0.3769137,0
0,0.31710973,0
0,0.4990796,0
0,0.38915384,0
1,0.23736352,0
0,0.26483515,0
0,0.07333829,0
1,0.6988623,1
1,0.60645366,1
0,0.62549293,1
0,0.66285473,1
1,0.80106175,1
1,0.28768417,0
1,0.68207216,1
0,0.30289388,0
1,0.7435169,1
0,0.6437994,1
1,0.6378706,1
1,0.41670138,0
0,0.69952387,1
0,0.48952407,0
0,0.4279802,0
1,0.556887,1
1,0.62119216,1
0,0.6933042,1
0,0.21717031,0
1,0.6250618,1
0,0.7132389,1
1,0.29161158,0
0,0.4422312,0
1,0.1871794,0
1,0.7108403,1
1,0.46777514,0
1,0.42877266,0
0,0.20286666,0
0,0.42824695,0
0,0.45530644,0
0,0.5840305,1
1,0.6816798,1
0,0.5185472,1
0,0.51027113,1
1,0.6589,1
1,0.7340761,1
1,0.44660297,0
0,0.5607765,1
0,0.69527906,1
0,0.2273612,0
1,0.5331842,1
1,0.59949565,1
0,0.57021636,1
0,0.55141234,1
1,0.598241,1
0,0.7337606,1
1,0.37280637,0
0,0.25142494,0
0,0.20942408,0
1,0.44909838,0
0,0.046405736,0
1,0.45938122,0
1,0.8182105,1
0,0.6833591,1
1,0.17597415,0
0,0.62682045,1
0,0.54134727,1
0,0.73064274,1
0,0.752914,1
1,0.38119227,0
0,0.6794074,1
0,0.23328942,0
1,0.62312037,1
0,0.49342164,0
1,0.6664388,1
1,0.79125404,1
0,0.18720372,0
0,0.35987395,0
1,0.77806467,1
1,0.6584244,1
1,0.44852823,0
1,0.26997316,0
0,0.5875028,1
1,0.700856,1
1,0.6982876,1
0,0.65794706,1
0,0.20099777,0
0,0.3927481,0
0,0.7390449,1
0,0.48205793,0
0,0.68995535,1
1,0.52527505,1
1,0.6640087,1
0,0.1000203,0
0,0.7750477,1
1,0.6252094,1
0,0.59438854,1
1,0.71942145,1
1,0.17611761,0
0,0.22401583,0
1,0.49299362,0
1,0.7495605,1
1,0.7665217,1
1,0.48704156,0
0,0.3472888,0
0,0.6515766,1
1,0.43254647,0
1,0.30333078,0
0,0.3496575,0
0,0.33381602,0
0,0.14225972,0
1,0.55830675,1
0,0.27387935,0
1,0.84873706,1
1,0.6001523,1
1,0.7253852,1
0,0.78313845,1
0,0.3048921,0
1,0.765605,1
1,0.3138558,0
1,0.6698735,1
0,0.57241714,1
1,0.7167312,1
1,0.6477653,1
1,0.47403347,0
1,0.6009018,1
1,0.6167031,1
0,0.3543225,0
1,0.6728346,1
1,0.39474428,0
1,0.6732893,1
1,0.3949532,0
0,0.5902193,1
0,0.720443,1
0,0.74269205,1
1,0.35429448,0
0,0.13527536,0
0,0.21137662,0
0,0.39028627,0
0,0.6613684,1
0,0.18742484,0
1,0.7913372,1
1,0.6776348,1
0,0.6542351,1
0,0.08242116,0
1,0.7325562,1
1,0.6280487,1
0,0.3828872,0
1,0.7465391,1
0,0.7000597,1
1,0.7868671,1
0,0.29538912,0
1,0.6582956,1
0,0.621307,1
0,0.6114588,1
0,0.30550274,0
1,0.33611247,0
0,0.13260105,0
0,0.14470197,0
1,0.48348773,0
1,0.61383164,1
0,0.036092874,0
0,0.33966222,0
0,0.13618785,0
0,0.64947397,1
1,0.5440825,1
0,0.6697983,1
