true_label,predicted_prob,predicted_label
1,0.55706733,1
0,0.43697348,0
1,0.8503826,1
1,0.56669796,1
0,0.33652508,0
0,0.5810564,1
1,0.09572066,0
1,0.1893592,0
0,0.28261128,0
1,0.49461547,0
0,0.015198761,0
0,0.54947305,1
1,0.8051651,1
0,0.62788206,1
0,0.45501494,0
0,0.85427576,1
0,0.20275486,0
1,0.5650634,1
1,0.16796388,0
0,0.008704732,0
1,0.66097325,1
0,0.506771,1
0,0.042390645,0
1,0.78717,1
1,0.71329165,1
0,0.05049669,0
0,0.61771876,1
1,0.74134004,1
0,0.47398323,0
0,0.08855405,0
1,0.45100304,0
1,0.45770103,0
0,0.81092525,1
1,0.600628,1
0,0.5721563,1
1,0.71111137,1
1,0.1502869,0
1,0.6839632,1
0,0.6618889,1
0,0.098759584,0
1,0.24093096,0
0,0.39603707,0
0,0.056562837,0
1,0.39959818,0
0,0.104779616,0
0,0.53361654,1
0,0.675229,1
1,0.32664672,0
1,0.6200202,1
0,0.12572004,0
0,0.05499752,0
0,0.49842378,0
1,0.19146387,0
1,0.2579674,0
1,0.5358549,1
0,0.2350505,0
1,0.6972382,1
0,0.010328674,0
0,0.14554653,0
0,0.089314334,0
1,0.8491443,1
0,0.35889035,0
1,0.63216096,1
0,0.15515576,0
1,0.84525424,1
0,0.1402585,0
1,0.15041848,0
0,0.7159301,1
1,0.32309532,0
0,0.05439413,0
0,0.7143352,1
1,0.68042684,1
0,0.7734523,1
1,0.07737713,0
1,0.65749377,1
1,0.57639223,1
1,0.6585916,1
0,0.2335794,0
0,0.41790384,0
0,0.11562665,0
1,0.10621011,0
0,0.20864336,0
1,0.25054398,0
0,0.5679259,1
1,0.50971854,1
0,0.33271328,0
1,0.4091931,0
1,0.88028055,1
0,0.6414123,1
1,0.14596146,0
0,0.1918117,0
1,0.55818784,1
0,0.03888191,0
0,0.45866355,0
1,0.82300156,1
1,0.8838966,1
1,0.5674714,1
1,0.83542114,1
0,0.23145677,0
1,0.0756414,0
1,0.6509108,1
0,0.7007281,1
0,0.5916058,1
1,0.74095464,1
1,0.69019014,1
1,0.13250549,0
0,0.6551959,1
1,0.7832141,1
1,0.3431325,0
1,0.87064093,1
0,0.81404984,1
0,0.6268579,1
0,0.61533576,1
0,0.213763,0
0,0.15143138,0
0,0.031066533,0
1,0.24831115,0
0,0.50101626,1
1,0.18936314,0
1,0.66297084,1
0,0.83551896,1
1,0.8533363,1
0,0.50062305,1
0,0.042526543,0
1,0.80833876,1
1,0.32888174,0
1,0.8138818,1
0,0.43110645,0
0,0.6684902,1
1,0.8263414,1
0,0.37207422,0
1,0.789197,1
1,0.8226159,1
0,0.73963964,1
0,0.8178148,1
0,0.7564258,1
1,0.29395258,0
1,0.29778898,0
0,0.56900644,1
0,0.46566013,0
0,0.105899245,0
1,0.7140258,1
1,0.52971244,1
0,0.20425378,0
0,0.56201327,1
0,0.29432213,0
0,0.59135115,1
0,0.38730323,0
1,0.77912766,1
0,0.16320363,0
1,0.7473793,1
1,0.16463663,0
0,0.45869252,0
0,0.24778095,0
1,0.41826323,0
1,0.63136923,1
0,0.22584344,0
0,0.7498755,1
1,0.630824,1
1,0.63332886,1
1,0.5912613,1
1,0.4445971,0
0,0.6993228,1
0,0.6971291,1
1,0.8012551,1
0,0.71293193,1
0,0.51849955,1
0,0.65896684,1
0,0.11217068,0
1,0.67153746,1
1,0.81171006,1
1,0.16466069,0
0,0.24239796,0
1,0.40415838,0
0,0.033623546,0
0,0.045398403,0
0,0.024029275,0
1,0.6261646,1
1,0.5063254,1
0,0.77598953,1
1,0.6894878,1
1,0.5729234,1
0,0.6685114,1
0,0.44436878,0
1,0.39083695,0
0,0.033583082,0
0,0.06141125,0
0,0.64757675,1
0,0.3959428,0
1,0.16499998,0
0,0.048774283,0
0,0.11936832,0
0,0.19468312,0
1,0.53912866,1
1,0.46002564,0
1,0.060929276,0
0,0.4354708,0
1,0.28247565,0
0,0.19840181,0
0,0.48566398,0
1,0.53983337,1
0,0.5873571,1
0,0.820216,1
1,0.6922008,1
0,0.22925632,0
0,0.2666529,0
0,0.20132662,0
1,0.41495073,0
0,0.10393442,0
0,0.017636556,0
1,0.70399946,1
1,0.3225273,0
0,0.229855,0
0,0.678613,1
1,0.8683365,1
1,0.11446675,0
1,0.17481564,0
0,0.09612282,0
1,0.7726916,1
0,0.62937653,1
1,0.6350711,1
1,0.24732001,0
0,0.70409214,1
0,0.59279203,1
0,0.27495396,0
1,0.72879344,1
1,0.5986149,1
0,0.6585665,1
0,0.08727137,0
1,0.77001995,1
0,0.57947576,1
1,0.61757046,1
0,0.35188967,0
1,0.13530722,0
1,0.77435803,1
1,0.21485278,0
1,0.6673765,1
0,0.085840344,0
0,0.21441571,0
0,0.82498544,1
0,0.20014544,0
1,0.67046905,1
0,0.19795221,0
