true_label,predicted_prob,predicted_label
1,0.587248,1
0,0.37921798,0
1,0.5844205,1
1,0.4313523,0
0,0.5860219,1
0,0.4909436,0
1,0.43021256,0
1,0.5229873,1
0,0.4697124,0
1,0.49232048,0
0,0.21894237,0
0,0.5378793,1
1,0.56724817,1
0,0.43709034,0
0,0.40846205,0
0,0.5753964,1
0,0.41185668,0
1,0.5119236,1
1,0.4611638,0
0,0.12953858,0
1,0.52938384,1
0,0.54170924,1
0,0.1763499,0
1,0.53813595,1
1,0.5214257,1
0,0.16043253,0
0,0.5484624,1
1,0.5811805,1
0,0.5498801,1
0,0.18721774,0
1,0.5517441,1
1,0.54471505,1
0,0.5464947,1
1,0.52514654,1
0,0.5720599,1
1,0.6150362,1
1,0.41503838,0
1,0.51217145,1
0,0.4979587,0
0,0.47530776,0
1,0.49410033,0
0,0.50086296,1
0,0.14629072,0
1,0.5183274,1
0,0.4503868,0
0,0.42361072,0
0,0.4831899,0
1,0.45288903,0
1,0.4493686,0
0,0.22105797,0
0,0.14931478,0
0,0.5125775,1
1,0.47434965,0
1,0.4942636,0
1,0.5295261,1
0,0.47510403,0
1,0.63723683,1
0,0.15592894,0
0,0.36686733,0
0,0.43959138,0
1,0.64320004,1
0,0.43958834,0
1,0.57484275,1
0,0.4955003,0
1,0.5249241,1
0,0.16152552,0
1,0.4379938,0
0,0.4962068,0
1,0.48790187,0
0,0.1406122,0
0,0.54438627,1
1,0.5196977,1
0,0.4725593,0
1,0.41179368,0
1,0.5663245,1
1,0.61081505,1
1,0.5086433,1
0,0.39789656,0
0,0.5309331,1
0,0.40285477,0
1,0.49018967,0
0,0.48004368,0
1,0.5616485,1
0,0.5035532,1
1,0.5080531,1
0,0.45569825,0
1,0.4282402,0
1,0.68118376,1
0,0.5124197,1
1,0.4807686,0
0,0.3609406,0
1,0.47130972,0
0,0.24711193,0
0,0.5238546,1
1,0.65029883,1
1,0.5772511,1
1,0.40689835,0
1,0.6057935,1
0,0.40784466,0
1,0.37584487,0
1,0.5131576,1
0,0.6049275,1
0,0.51773703,1
1,0.60891527,1
1,0.4915202,0
1,0.5444868,1
0,0.36228913,0
1,0.5686444,1
1,0.5858536,1
1,0.6607705,1
0,0.57871515,1
0,0.51259726,1
0,0.53340256,1
0,0.50684977,1
0,0.49280897,0
0,0.15034918,0
1,0.4382322,0
0,0.54372036,1
1,0.54840994,1
1,0.53478736,1
0,0.5520889,1
1,0.6429997,1
0,0.5419926,1
0,0.1505504,0
1,0.6912643,1
1,0.4628367,0
1,0.55220187,1
0,0.5305471,1
0,0.50244606,1
1,0.65756416,1
0,0.51510364,1
1,0.58029664,1
1,0.6223466,1
0,0.47843984,0
